A30,P301,P302,P303,P304,P305,P306,P307,P308
210.8314815,210.5698722,211.84402,206.74509,213.5272,209.61893,209.57816,201.9948801,210.1486779
212.5503704,213.6447935,214.21738,211.30318,213.07603,214.00398,212.68143,209.254813,210.4998311
213.2981481,214.7727941,213.72652,212.64758,212.03653,215.22179,212.30388,210.7222001,210.8509844
210.6037037,212.6076716,210.34541,213.1261,208.77821,213.18948,210.22565,207.3303636,211.2021377
211.2625926,211.4522312,210.41891,211.54225,213.4638,213.23822,209.781,203.2067668,211.553291
212.8037037,212.4204943,212.70766,212.46158,216.11966,212.8118,211.64966,203.4313076,211.9044443
217.8887654,216.3343494,217.25264,213.81992,217.69754,216.39853,215.01764,207.3225244,212.2555976
219.1980247,220.6188238,220.09966,218.82445,219.30103,220.6073,218.82712,212.514246,212.6067508
219.3932099,219.8172702,219.04886,218.4318,220.68036,218.53311,217.78833,213.4573082,212.9579041
214.882716,215.1197656,215.58943,217.45518,218.25183,217.43896,215.59,211.041374,213.3090574
215.5434568,212.8518384,212.34659,212.44177,215.42552,213.27847,211.51062,206.1056518,213.6602107
217.7838272,217.104735,217.00078,216.67438,217.43837,215.29279,215.41042,206.6529541,214.011364
225.9860494,224.4390521,224.56181,221.67989,223.06125,220.81558,220.58116,211.3798599,214.3625173
228.0990123,227.6265846,229.66353,230.18958,226.48077,228.82076,226.33572,219.2680864,214.7136706
228.5049383,227.6513903,228.95918,229.84569,227.5062,228.60736,224.20602,220.5087074,215.0648238
227.0951852,224.8887888,226.77399,227.24918,224.90955,225.7254,221.069,216.6348764,215.4159771
224.1685185,224.2737023,225.61581,225.25272,227.35991,227.22812,225.91496,213.5088928,215.7671304
219.6162963,219.1127471,219.88213,220.23499,221.92505,219.8834,221.52954,211.1576376,216.1182837
207.8795062,215.3170764,216.81108,215.89606,218.32329,216.24738,217.1756,210.0652693,216.469437
204.2454321,205.3713922,205.29279,202.96146,206.67647,200.82718,201.20981,201.9930213,216.8205903
203.1550617,203.7856466,203.00691,204.18948,208.91641,207.72144,204.71515,200.4655334,217.1717435
210.2671605,208.114102,204.46275,205.48633,213.44916,211.07535,208.08578,203.1735024,217.5228968
210.0201235,211.2112452,213.60507,210.04248,214.6614,213.32047,212.91553,211.4380128,217.8740501
208.072716,209.0652997,210.70404,206.43616,211.33159,211.13174,208.79256,211.2394843,218.2252034
200.4432099,202.7749581,208.97739,203.87166,202.62015,206.03497,202.71292,204.155432,218.5763567
198.081358,200.5197275,199.6253,198.74551,201.2758,201.6528,199.23087,195.1037735,218.92751
197.0054321,199.7315285,196.54639,198.3021,200.86348,199.64392,199.25458,192.9220916,219.2786633
198.93,201.4550292,205.1535,198.45491,204.59412,202.66904,201.35086,196.5613583,219.6298165
199.14,200.9624009,203.38249,197.38493,201.00067,200.90427,199.89037,200.0837362,219.9809698
199.35,201.0781104,204.73329,197.59055,201.11168,202.30957,200.07709,200.4865325,220.3321231
